Round,anne.results...SampleIDs,Pred,True
41,TCGA-28-5218-01,cluster2,cluster1
41,TCGA-28-5204-01,cluster1,cluster5
41,TCGA-28-1747-01,cluster3,cluster3
42,TCGA-06-2564-01,cluster1,cluster1
42,TCGA-12-3650-01,cluster1,cluster1
42,TCGA-28-5208-01,cluster2,cluster1
42,TCGA-06-0190-01,cluster2,cluster2
42,TCGA-27-1837-01,cluster1,cluster1
43,TCGA-06-0750-01,cluster2,cluster4
43,TCGA-32-5222-01,cluster1,cluster2
43,TCGA-08-0386-01,cluster2,cluster3
43,TCGA-15-1444-01,cluster3,cluster3
43,TCGA-06-0129-01,cluster3,cluster3
44,TCGA-19-2624-01,cluster1,cluster1
44,TCGA-15-1444-01,cluster3,cluster3
44,TCGA-32-2638-01,cluster1,cluster1
44,TCGA-06-0156-01,cluster2,cluster2
44,TCGA-06-0219-01,cluster5,cluster5
45,TCGA-27-2524-01,cluster2,cluster2
45,TCGA-06-0156-01,cluster2,cluster2
45,TCGA-27-2519-01,cluster2,cluster3
45,TCGA-06-5411-01,cluster5,cluster5
45,TCGA-19-1787-01,cluster2,cluster3
46,TCGA-06-0190-01,cluster2,cluster2
46,TCGA-28-5213-01,cluster2,cluster1
46,TCGA-41-2572-01,cluster1,cluster1
46,TCGA-06-5411-01,cluster5,cluster5
46,TCGA-06-0156-01,cluster2,cluster2
47,TCGA-41-2571-01,cluster2,cluster2
47,TCGA-27-1831-01,cluster3,cluster1
47,TCGA-32-5222-01,cluster3,cluster2
47,TCGA-06-2559-01,cluster1,cluster1
47,TCGA-32-2615-01,cluster1,cluster4
48,TCGA-02-0047-01,cluster2,cluster5
48,TCGA-32-1980-01,cluster5,cluster5
48,TCGA-28-5208-01,cluster2,cluster1
48,TCGA-41-2571-01,cluster2,cluster2
48,TCGA-26-5134-01,cluster2,cluster2
49,TCGA-28-1753-01,cluster1,cluster1
49,TCGA-08-0386-01,cluster2,cluster3
49,TCGA-06-0156-01,cluster2,cluster2
